"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"1898",3.13241222905829e-74,-0.595153382201776,0.435,0.697,2.82794176039383e-70
"2936",3.86448131244663e-74,0.41956163666438,0.353,0.034,3.48885372887681e-70
"3544",3.93443746040394e-74,0.508369911041927,0.562,0.169,3.55201013925268e-70
"2364",4.31202114876013e-74,-0.536465074911273,0.001,0.194,3.89289269310064e-70
"5899",6.15268297163984e-74,-0.546640433134244,0.198,0.553,5.55464218679645e-70
"8433",8.88943311376053e-74,0.341774398837499,0.29,0.01,8.025380215103e-70
"7841",9.97777856373465e-74,-0.564031050225179,0.444,0.647,9.00793848733964e-70
"2130",1.06060419632365e-73,-0.579695906599273,0.01,0.233,9.57513468440992e-70
"5797",1.22585442314772e-73,-0.546458882328426,0.641,0.778,1.10670137321777e-69
"6618",1.24663128028293e-73,-0.562052590528484,0.144,0.433,1.12545871983943e-69
"5368",1.35613601731547e-73,0.388583899465948,1,0.994,1.22431959643241e-69
"3274",1.507775197785e-73,0.502039154633367,0.567,0.173,1.3612194485603e-69
"7853",1.62804195919078e-73,-0.569639608726114,0.439,0.688,1.46979628075744e-69
"3445",1.79324578756535e-73,-0.380692447753496,0.002,0.201,1.61894229701399e-69
"3854",1.8029814492834e-73,-0.585916664487774,0.487,0.692,1.62773165241305e-69
"1845",2.08577545282885e-73,-0.626582075418062,0.127,0.404,1.88303807881388e-69
"8214",2.25016071203053e-73,-0.844155558289328,0.275,0.524,2.03144509082116e-69
"2247",2.43666654257978e-73,0.371931140614887,0.295,0.011,2.19982255464103e-69
"1434",2.52173219332328e-73,-0.953573500805722,0.094,0.369,2.27661982413225e-69
"5357",2.55457115024577e-73,0.537398861989004,0.93,0.631,2.30626683444188e-69
"5282",3.08081262378416e-73,0.556170886502763,0.633,0.235,2.78135763675234e-69
"7317",3.4243743481898e-73,0.57126043763332,0.798,0.442,3.09152516154575e-69
"5907",3.90941449641509e-73,0.353460096910235,0.26,0.001,3.52941940736355e-69
